plugin,skill,check_id,severity,result,detail
rev-ops,annual-planning-workflow,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,annual-planning-workflow,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,annual-planning-workflow,1.2,WARN,PASS,version=1.0.0
rev-ops,annual-planning-workflow,1.3,WARN,PASS,name=annual-planning-workflow
rev-ops,annual-planning-workflow,1.4,WARN,PASS,description present
rev-ops,annual-planning-workflow,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,annual-planning-workflow,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,annual-planning-workflow,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,annual-planning-workflow,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,annual-planning-workflow,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,annual-planning-workflow,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,annual-planning-workflow,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,annual-planning-workflow,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,annual-planning-workflow,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,annual-planning-workflow,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,annual-planning-workflow,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,annual-planning-workflow,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,annual-planning-workflow,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,annual-planning-workflow,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,annual-planning-workflow,9.1,WARN,PASS,G-code governance reference found
rev-ops,annual-planning-workflow,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,change-communication-packaging,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,change-communication-packaging,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,change-communication-packaging,1.2,WARN,PASS,version=1.0.0
rev-ops,change-communication-packaging,1.3,WARN,PASS,name=change-communication-packaging
rev-ops,change-communication-packaging,1.4,WARN,PASS,description present
rev-ops,change-communication-packaging,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,change-communication-packaging,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,change-communication-packaging,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,change-communication-packaging,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,change-communication-packaging,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,change-communication-packaging,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,change-communication-packaging,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,change-communication-packaging,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,change-communication-packaging,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,change-communication-packaging,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,change-communication-packaging,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,change-communication-packaging,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,change-communication-packaging,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,change-communication-packaging,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,change-communication-packaging,9.1,WARN,PASS,G-code governance reference found
rev-ops,change-communication-packaging,S1,WARN,PASS,status signal=[DRAFT]
rev-ops,closed-won-to-cs-capacity-modeling,1.1,BLOCK,PASS,deployment_target=plugin
